epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.297,1.61033,3.9991,1.525,0.0037,0.21349,0.02033,0.00704,1.2108,3.92198,1.31272,0.00025,0.00025,0.00025
2,392.682,1.45572,2.94653,1.40435,0.77621,0.03787,0.0315,0.01621,1.3368,3.76106,1.36118,0.000507426,0.000507426,0.000507426
3,588.685,1.42553,2.65518,1.39228,0.77697,0.05721,0.03882,0.02566,1.2957,3.66641,1.49521,0.000759655,0.000759655,0.000759655
4,784.015,1.40543,2.51078,1.38072,0.47805,0.15673,0.12186,0.08107,1.31172,3.2885,1.37022,0.00100669,0.00100669,0.00100669
5,980.322,1.39566,2.4278,1.36712,0.19945,0.11752,0.06956,0.04966,1.75094,7.71398,1.91115,0.0012005,0.0012005,0.0012005
6,1176.02,1.39745,2.39837,1.37308,0.33878,0.16313,0.11078,0.06417,1.51004,5.03089,1.68683,0.00118812,0.00118812,0.00118812
7,1371.91,1.39192,2.32446,1.36542,0.34787,0.29194,0.20706,0.12829,1.54956,5.05825,1.64783,0.00117575,0.00117575,0.00117575
8,1567.55,1.36763,2.20575,1.3639,0.45831,0.35967,0.30084,0.20489,1.33128,3.74366,1.41805,0.00116337,0.00116337,0.00116337
9,1763.66,1.3318,2.1443,1.33179,0.39987,0.34208,0.2898,0.19077,1.28426,2.98512,1.37202,0.001151,0.001151,0.001151
10,1959.81,1.31887,2.08513,1.33477,0.50407,0.40468,0.37503,0.26346,1.18494,1.9533,1.27351,0.00113863,0.00113863,0.00113863
11,2155.59,1.28749,1.95884,1.29331,0.51185,0.39078,0.37769,0.25243,1.20545,2.3103,1.3483,0.00112625,0.00112625,0.00112625
12,2351.89,1.25498,1.96633,1.30158,0.60341,0.37457,0.38711,0.27831,1.29954,1.85778,1.40456,0.00111388,0.00111388,0.00111388
13,2547.83,1.23073,1.96299,1.28283,0.57259,0.44054,0.39431,0.27841,1.168,1.72558,1.31141,0.0011015,0.0011015,0.0011015
14,2744.14,1.23413,1.84386,1.26483,0.45692,0.44934,0.4214,0.27784,1.26433,2.09501,1.29826,0.00108913,0.00108913,0.00108913
15,2940.04,1.22227,1.82907,1.25883,0.57912,0.42801,0.41957,0.29617,1.23423,2.23623,1.31159,0.00107675,0.00107675,0.00107675
16,3136.29,1.21169,1.78863,1.24743,0.5697,0.40101,0.44032,0.31359,1.15322,2.02252,1.27171,0.00106437,0.00106437,0.00106437
17,3332.01,1.20144,1.80456,1.24348,0.52093,0.42771,0.37443,0.24932,1.16505,2.27273,1.27549,0.001052,0.001052,0.001052
18,3528.33,1.20455,1.74552,1.23718,0.53717,0.45309,0.44419,0.28893,1.30326,1.65015,1.3818,0.00103962,0.00103962,0.00103962
19,3724.28,1.18955,1.72782,1.23405,0.61032,0.41079,0.44809,0.31095,1.0732,1.85839,1.24127,0.00102725,0.00102725,0.00102725
20,3919.93,1.16366,1.6904,1.20965,0.57051,0.4283,0.4417,0.30853,1.18147,1.59706,1.25293,0.00101488,0.00101488,0.00101488
21,4115.3,1.17159,1.70394,1.21096,0.59672,0.43819,0.4856,0.35133,1.05958,1.50167,1.21196,0.0010025,0.0010025,0.0010025
22,4311.18,1.16524,1.63068,1.21156,0.70222,0.35969,0.42967,0.32244,1.08188,1.50695,1.24615,0.000990125,0.000990125,0.000990125
23,4507.16,1.1162,1.63158,1.1833,0.6115,0.44343,0.43779,0.31896,1.07639,2.43809,1.19495,0.00097775,0.00097775,0.00097775
24,4702.98,1.11984,1.58263,1.18222,0.57147,0.47517,0.46508,0.33642,1.09967,1.50443,1.22055,0.000965375,0.000965375,0.000965375
25,4898.68,1.12136,1.59347,1.19923,0.62806,0.42617,0.45632,0.32738,1.13437,1.53021,1.24716,0.000953,0.000953,0.000953
26,5094.61,1.09249,1.55531,1.19077,0.67708,0.40646,0.48463,0.34781,1.15499,1.5694,1.24293,0.000940625,0.000940625,0.000940625
27,5291.08,1.12108,1.54478,1.19557,0.60684,0.46355,0.4584,0.30303,1.13677,1.73182,1.25521,0.00092825,0.00092825,0.00092825
28,5486.93,1.10489,1.49891,1.17512,0.60889,0.44337,0.48986,0.34144,1.1016,1.50348,1.20529,0.000915875,0.000915875,0.000915875
29,5682.9,1.07068,1.46031,1.15811,0.63652,0.39528,0.45845,0.32628,1.09162,1.58622,1.21437,0.0009035,0.0009035,0.0009035
30,5879.11,1.07355,1.45254,1.16403,0.5632,0.4275,0.47918,0.33781,1.04084,1.44377,1.15868,0.000891125,0.000891125,0.000891125
31,6074.84,1.07884,1.46702,1.16043,0.68446,0.43046,0.4781,0.33234,1.06729,1.41734,1.16802,0.00087875,0.00087875,0.00087875
32,6270.87,1.06472,1.45554,1.15901,0.69296,0.43508,0.45225,0.32903,1.04124,1.79712,1.10752,0.000866375,0.000866375,0.000866375
33,6466.9,1.065,1.45182,1.15889,0.58786,0.4762,0.46354,0.31959,1.05112,1.60557,1.17798,0.000854,0.000854,0.000854
34,6662.73,1.0326,1.39277,1.15017,0.51417,0.48187,0.47898,0.35089,1.02795,1.44007,1.21836,0.000841625,0.000841625,0.000841625
35,6858.14,1.04156,1.40692,1.12806,0.65695,0.41797,0.46396,0.33671,1.04107,1.27756,1.18661,0.00082925,0.00082925,0.00082925
36,7054.49,1.04038,1.39536,1.14175,0.55919,0.4809,0.48135,0.35233,1.02834,1.48167,1.1665,0.000816875,0.000816875,0.000816875
37,7250.35,0.99309,1.36599,1.12127,0.63354,0.44635,0.47532,0.3384,0.99601,1.52199,1.19867,0.0008045,0.0008045,0.0008045
38,7446.19,1.01309,1.35944,1.12601,0.59447,0.47485,0.47604,0.335,1.00673,1.57855,1.15788,0.000792125,0.000792125,0.000792125
39,7642.91,1.01291,1.35094,1.12287,0.64687,0.45649,0.45819,0.33674,1.00933,1.56206,1.15977,0.00077975,0.00077975,0.00077975
40,7838.69,0.99554,1.33351,1.13116,0.66076,0.46376,0.49292,0.34837,0.97293,1.51192,1.13348,0.000767375,0.000767375,0.000767375
41,8034.56,0.97564,1.27271,1.10569,0.64113,0.45652,0.49284,0.35813,0.99495,1.27779,1.11979,0.000755,0.000755,0.000755
42,8230.45,0.9974,1.33939,1.11174,0.59911,0.47591,0.49555,0.34727,1.13043,1.37403,1.28216,0.000742625,0.000742625,0.000742625
43,8426.32,0.98329,1.34553,1.12137,0.61682,0.47925,0.50719,0.35855,0.97539,1.37782,1.10536,0.00073025,0.00073025,0.00073025
44,8622.07,0.97125,1.28439,1.09545,0.68072,0.40918,0.48553,0.35005,1.00478,1.4196,1.13937,0.000717875,0.000717875,0.000717875
45,8818.17,0.96545,1.24511,1.08468,0.60768,0.46354,0.47989,0.35235,0.96348,1.24807,1.12079,0.0007055,0.0007055,0.0007055
46,9014.08,0.95867,1.25486,1.09345,0.56797,0.48585,0.48895,0.36056,1.00847,1.3042,1.1354,0.000693125,0.000693125,0.000693125
47,9209.98,0.94315,1.23684,1.08803,0.64564,0.45747,0.47025,0.33902,0.97365,1.34489,1.12676,0.00068075,0.00068075,0.00068075
48,9406.25,0.93672,1.21751,1.07607,0.63685,0.46515,0.4924,0.37243,0.9487,1.22259,1.1002,0.000668375,0.000668375,0.000668375
49,9602.34,0.92053,1.23746,1.084,0.59104,0.48554,0.50747,0.38799,0.90721,1.1853,1.09988,0.000656,0.000656,0.000656
50,9798.37,0.94646,1.22922,1.09033,0.56737,0.43036,0.49052,0.36437,0.96094,1.26958,1.13042,0.000643625,0.000643625,0.000643625
51,9994.27,0.92068,1.19173,1.05914,0.56477,0.45105,0.46364,0.34122,0.93499,1.38106,1.10813,0.00063125,0.00063125,0.00063125
52,10190.3,0.90801,1.16586,1.07908,0.54202,0.51227,0.49898,0.35878,0.9733,1.17398,1.11845,0.000618875,0.000618875,0.000618875
53,10386.2,0.94221,1.18545,1.071,0.66991,0.43729,0.49969,0.36241,0.95422,1.21083,1.10513,0.0006065,0.0006065,0.0006065
54,10582.1,0.89078,1.13516,1.05657,0.69899,0.4118,0.49594,0.36461,0.96538,1.29331,1.1175,0.000594125,0.000594125,0.000594125
55,10778.2,0.88718,1.11511,1.06532,0.61924,0.46692,0.51081,0.37709,0.96763,1.16644,1.12255,0.00058175,0.00058175,0.00058175
56,10974.2,0.85441,1.04993,1.03977,0.66427,0.41574,0.48692,0.36302,0.93044,1.20245,1.07513,0.000569375,0.000569375,0.000569375
57,11170.2,0.91338,1.13461,1.06171,0.59143,0.46337,0.47968,0.35332,0.98159,1.34706,1.08964,0.000557,0.000557,0.000557
58,11366.8,0.91307,1.13672,1.07067,0.5453,0.52137,0.48855,0.34937,1.01037,1.27861,1.10704,0.000544625,0.000544625,0.000544625
59,11562.4,0.89816,1.12202,1.05746,0.59769,0.49518,0.49135,0.35788,0.96874,1.31125,1.10334,0.00053225,0.00053225,0.00053225
60,11758.4,0.85834,1.08232,1.04491,0.6699,0.47174,0.51089,0.37481,0.97672,1.20245,1.12113,0.000519875,0.000519875,0.000519875
61,11954.2,0.89361,1.09926,1.05044,0.65384,0.50804,0.52833,0.39241,0.98521,1.22563,1.11498,0.0005075,0.0005075,0.0005075
